Default channel group,Date+hour,Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count
Email,2024-07-30 09:00:00,3,5,2,499.23,2.41,3.06,0.76,8
Email,2024-07-30 10:00:00,1,2,3,116.36,1.25,7.16,0.23,10
Social,2024-07-30 11:00:00,1,2,3,506.18,3.55,5.74,0.21,14
Direct,2024-07-30 12:00:00,4,4,3,27.16,3.57,6.16,0.97,16
Social,2024-07-30 13:00:00,4,1,1,472.84,1.17,1.82,0.24,19
Referral,2024-07-30 14:00:00,1,2,4,324.35,1.6,8.67,0.65,7
Direct,2024-07-30 15:00:00,4,1,5,137.61,0.75,5,0.35,6
Paid Search,2024-07-30 16:00:00,4,5,1,249.83,3.2,1.66,0.52,8
Social,2024-07-30 17:00:00,1,4,4,67.28,3.07,2.17,0.9,19
Email,2024-07-30 18:00:00,3,3,1,90.98,3.6,3.69,0.89,7
Affiliates,2024-07-30 19:00:00,1,4,4,226.58,1.98,8.05,0.11,2
Organic Search,2024-07-30 20:00:00,4,3,2,253.33,2.51,8.54,0.92,5
Direct,2024-07-30 21:00:00,3,2,5,467.85,4.1,2.82,0.28,19
Organic Search,2024-07-30 22:00:00,2,3,2,456.21,0.5,9.47,0.82,11
Affiliates,2024-07-30 23:00:00,3,1,2,151.67,1.86,7.59,0.86,2
Organic Search,2024-07-31 00:00:00,4,3,4,118.49,2.16,5.45,0.9,18
Paid Search,2024-07-31 01:00:00,3,2,3,109.3,3.08,6.86,0.53,18
Display,2024-07-31 02:00:00,1,2,3,358.53,2.8,9.17,0.49,1
Organic Search,2024-07-31 03:00:00,2,4,3,352.52,1.29,1.86,0.96,15
Paid Search,2024-07-31 04:00:00,2,2,3,71.91,1.2,7.53,0.72,11
Display,2024-07-31 05:00:00,2,1,5,210.84,3.77,7.5,0.37,13
Display,2024-07-31 06:00:00,4,3,2,525.89,2.5,6.96,0.97,14
Direct,2024-07-31 07:00:00,4,5,1,565.95,2.7,2.31,0.39,13
Affiliates,2024-07-31 08:00:00,2,2,5,583.44,1.07,2.97,0.35,16
Email,2024-07-31 09:00:00,3,3,4,419.24,1.5,6.44,0.16,6
Social,2024-07-31 10:00:00,2,4,5,32.25,1.25,6.17,0.83,16
Email,2024-07-31 11:00:00,3,5,5,296.25,2.17,8.62,0.44,9
Referral,2024-07-31 12:00:00,3,4,4,153.48,2.04,8.96,0.53,8
Paid Search,2024-07-31 13:00:00,4,1,1,533.9,2.35,7.41,0.61,18
Affiliates,2024-07-31 14:00:00,3,4,2,34.98,3.19,3.91,0.72,3
Direct,2024-07-31 15:00:00,2,3,5,76.64,1.29,7.56,0.35,10
Paid Search,2024-07-31 16:00:00,4,5,4,178.88,3.8,6.31,0.98,2
Affiliates,2024-07-31 17:00:00,1,4,4,423.51,1.6,6.86,0.13,18
Paid Search,2024-07-31 18:00:00,1,4,1,562.36,4,4.92,0.23,13
Affiliates,2024-07-31 19:00:00,4,1,5,239.02,2.72,2.08,0.55,12
Social,2024-07-31 20:00:00,2,3,4,211.57,2.18,6.17,0.89,5
Affiliates,2024-07-31 21:00:00,1,4,1,471.8,2.44,8.98,0.41,11
Affiliates,2024-07-31 22:00:00,1,3,1,539.94,3.38,2.13,0.68,14
Referral,2024-07-31 23:00:00,3,2,4,61.68,2.4,8.04,0.7,11
Referral,2024-08-01 00:00:00,3,1,4,591.81,1.16,2.74,0.93,15
Direct,2024-08-01 01:00:00,2,1,5,310.75,3.67,4.9,0.44,4
Social,2024-08-01 02:00:00,4,1,5,596.61,4.83,5.77,0.99,3
Email,2024-08-01 03:00:00,2,3,2,17.5,1.24,2.16,0.26,3
Display,2024-08-01 04:00:00,4,4,4,535.68,1.78,4.82,0.74,19
Direct,2024-08-01 05:00:00,1,4,3,68.24,4.14,6.72,0.49,5
Email,2024-08-01 06:00:00,3,3,3,468.9,4.02,6.31,0.18,9
Email,2024-08-01 07:00:00,2,3,2,10.17,0.8,6.97,0.68,15
Affiliates,2024-08-01 08:00:00,2,2,4,90.44,2.23,8.09,0.35,9
Affiliates,2024-08-01 09:00:00,4,5,1,104.96,4.57,1.17,0.74,12
Organic Search,2024-08-01 10:00:00,4,5,3,368.23,2.75,9.92,0.18,2
Paid Search,2024-08-01 11:00:00,2,1,5,419.43,1.22,2.68,0.57,11
Affiliates,2024-08-01 12:00:00,4,4,3,63.12,2.33,9.33,0.47,3
Paid Search,2024-08-01 13:00:00,2,1,4,249.48,4.93,5.19,0.63,10
Email,2024-08-01 14:00:00,2,4,3,424.05,1.86,5.31,0.18,3
Affiliates,2024-08-01 15:00:00,2,4,2,546.63,0.98,9.01,0.65,6
Affiliates,2024-08-01 16:00:00,1,2,5,121.83,2.09,4.05,0.22,13
Direct,2024-08-01 17:00:00,4,3,2,260.6,0.6,4.07,0.6,19
Social,2024-08-01 18:00:00,3,3,1,144.53,2.74,5.97,0.11,16
Email,2024-08-01 19:00:00,3,3,1,31.77,4,3.81,0.42,10
Direct,2024-08-01 20:00:00,4,5,1,279.03,3.23,9.67,0.64,1
Paid Search,2024-08-01 21:00:00,2,3,1,257.63,2.27,6.01,0.29,3
Display,2024-08-01 22:00:00,3,5,4,494.74,1.68,2.72,0.28,1
Paid Search,2024-08-01 23:00:00,3,1,4,535.4,1.05,9.23,0.38,7
Email,2024-08-02 00:00:00,4,5,4,218.5,2.07,6.83,0.1,19
Paid Search,2024-08-02 01:00:00,3,4,2,427.89,1.87,3.83,0.36,14
Social,2024-08-02 02:00:00,2,2,2,350.96,2.8,9.28,0.34,14
Affiliates,2024-08-02 03:00:00,4,2,3,464.33,1.39,2.42,0.53,19
Display,2024-08-02 04:00:00,2,4,5,96.33,2.53,2.78,0.59,5
Display,2024-08-02 05:00:00,3,1,2,489.66,3.34,1.04,0.31,1
Referral,2024-08-02 06:00:00,3,2,3,365.6,4.51,2.56,0.54,15
Referral,2024-08-02 07:00:00,2,4,1,462.8,1.52,4.03,0.47,3
Direct,2024-08-02 08:00:00,1,2,1,257.8,2.12,5.09,0.14,2
Affiliates,2024-08-02 09:00:00,3,5,2,14.86,2.6,2.73,0.36,8
Display,2024-08-02 10:00:00,1,2,4,551.6,3.44,8.79,0.76,15
Paid Search,2024-08-02 11:00:00,3,5,3,439.8,2.75,8.38,0.87,14
Email,2024-08-02 12:00:00,1,5,5,417.55,1.04,5.3,0.93,18
Referral,2024-08-02 13:00:00,1,2,3,289.23,2.85,9.16,0.28,7
Display,2024-08-02 14:00:00,1,2,4,35.88,4.29,8.81,0.39,1
Display,2024-08-02 15:00:00,2,5,4,91.31,1.57,7.01,0.92,16
Email,2024-08-02 16:00:00,1,2,2,268.75,0.63,4.48,0.48,7
Referral,2024-08-02 17:00:00,1,1,4,478.09,4.46,5.44,0.23,5
Direct,2024-08-02 18:00:00,1,3,4,534.98,1.59,1.16,0.61,4
Paid Search,2024-08-02 19:00:00,3,3,5,280.11,4.06,4.81,0.42,4
Affiliates,2024-08-02 20:00:00,1,4,4,597.04,3.53,1.58,0.95,5
Paid Search,2024-08-02 21:00:00,3,3,1,588.08,1.19,9.48,0.14,6
Affiliates,2024-08-02 22:00:00,1,1,4,224.56,2.8,5.4,0.1,2
Email,2024-08-02 23:00:00,1,3,1,48.24,1.98,2.29,0.8,7
Paid Search,2024-08-03 00:00:00,2,3,5,300.8,4.56,3.84,0.91,6
Affiliates,2024-08-03 01:00:00,3,1,2,587.9,3.51,1.08,0.11,13
Direct,2024-08-03 02:00:00,1,5,1,225.84,3.31,2.79,0.15,10
Social,2024-08-03 03:00:00,3,3,2,217.35,1.27,6.97,0.86,9
Display,2024-08-03 04:00:00,3,4,2,189.36,4.86,6.74,0.92,1
Paid Search,2024-08-03 05:00:00,4,3,1,570.53,1.09,1.98,0.62,8
Paid Search,2024-08-03 06:00:00,2,3,3,121.09,3.83,4.88,0.37,5
Display,2024-08-03 07:00:00,2,1,4,266.82,4.77,6.58,0.25,1
Email,2024-08-03 08:00:00,2,1,5,130.63,2.52,4.3,0.25,7
Affiliates,2024-08-03 09:00:00,4,4,2,75.93,1.76,8.02,0.11,9
Organic Search,2024-08-03 10:00:00,4,2,3,267.53,3.29,5.94,0.67,9
Paid Search,2024-08-03 11:00:00,2,1,2,485.5,3.31,3.12,0.65,3
Referral,2024-08-03 12:00:00,4,2,3,14.57,3.43,9.03,0.53,16
Direct,2024-08-03 13:00:00,4,4,5,296.18,3.34,5.53,0.43,18
Organic Search,2024-08-03 14:00:00,4,3,3,308.49,0.71,7.31,0.79,12
Direct,2024-08-03 15:00:00,2,3,5,54.84,1.11,6.67,0.24,10
Direct,2024-08-03 16:00:00,2,2,4,587.22,2.7,4.72,0.75,13
Affiliates,2024-08-03 17:00:00,2,4,3,126.72,2.68,3.66,0.75,14
Social,2024-08-03 18:00:00,4,4,2,544.91,2.32,3.83,0.87,5
Display,2024-08-03 19:00:00,2,1,4,145.29,3.97,2,0.95,17
Affiliates,2024-08-03 20:00:00,4,2,2,319.53,1.01,5.25,0.96,10
Referral,2024-08-03 21:00:00,1,1,2,482.13,2.78,1.05,0.49,5
Referral,2024-08-03 22:00:00,4,2,4,570.38,1.62,2.76,0.81,10
Email,2024-08-03 23:00:00,3,1,4,246.88,2.93,9.26,0.36,5
Social,2024-08-04 00:00:00,2,1,5,51.36,2.92,3.13,0.86,12
Social,2024-08-04 01:00:00,2,4,3,23.56,0.52,8.6,0.42,12
Display,2024-08-04 02:00:00,3,4,5,525.54,2.72,2.83,0.37,19
Email,2024-08-04 03:00:00,4,3,1,292.44,1.83,2.11,0.27,1
Paid Search,2024-08-04 04:00:00,1,3,1,98.47,3.2,4.22,0.11,13
Organic Search,2024-08-04 05:00:00,3,4,5,283.84,0.87,6.95,0.18,14
Display,2024-08-04 06:00:00,3,4,5,141.24,4.84,4.66,0.54,3
Direct,2024-08-04 07:00:00,4,1,3,422.68,4.1,1.96,0.11,19
Social,2024-08-04 08:00:00,2,3,4,250.37,3.92,8.41,0.87,4
Organic Search,2024-08-04 09:00:00,4,4,1,439.6,3.08,2.94,0.66,9
Email,2024-08-04 10:00:00,3,2,4,461.35,2.02,2.72,0.24,16
Organic Search,2024-08-04 11:00:00,3,2,2,230.79,3.44,2.56,0.62,18
Organic Search,2024-08-04 12:00:00,2,3,2,401.29,4.64,9.4,0.43,4
Email,2024-08-04 13:00:00,2,2,4,466.51,4.66,9.96,0.58,6
Paid Search,2024-08-04 14:00:00,2,1,2,40.12,2.97,7.85,0.38,12
Social,2024-08-04 15:00:00,4,3,1,123.94,4.63,7.17,0.7,9
Organic Search,2024-08-04 16:00:00,2,4,1,589.55,3.46,6.97,0.12,16
Referral,2024-08-04 17:00:00,3,2,2,14.25,2.68,7.42,0.73,12
Display,2024-08-04 18:00:00,3,1,1,194.63,4.87,2.67,0.11,1
Display,2024-08-04 19:00:00,1,4,2,471.49,2.56,7.93,0.22,10
Email,2024-08-04 20:00:00,4,5,3,196.62,4.73,4.91,0.95,3
Display,2024-08-04 21:00:00,1,1,3,493.46,1.51,4.03,0.68,14
Display,2024-08-04 22:00:00,3,2,4,88.06,2.12,3.84,0.56,14
Display,2024-08-04 23:00:00,1,1,2,527.31,3.74,4.27,0.31,14
Display,2024-08-05 00:00:00,3,5,3,288.9,2.27,3.67,0.98,11
Referral,2024-08-05 01:00:00,1,5,3,31.77,1.8,8.49,0.87,2
Direct,2024-08-05 02:00:00,2,1,1,377.75,1.83,1.12,0.71,13
Affiliates,2024-08-05 03:00:00,1,4,4,173.58,1.17,7.4,0.74,1
Direct,2024-08-05 04:00:00,2,4,4,423.25,0.78,7.91,0.79,12
Referral,2024-08-05 05:00:00,2,5,3,542.61,4.55,2.89,0.63,15
Display,2024-08-05 06:00:00,4,3,3,59.35,3.25,6.48,0.73,18
Email,2024-08-05 07:00:00,2,3,4,154.12,2.75,2.78,0.87,8
Display,2024-08-05 08:00:00,2,4,1,240.76,3.65,1.2,0.44,6
Direct,2024-08-05 09:00:00,1,3,5,576.34,4.51,6.33,0.11,6
Social,2024-08-05 10:00:00,3,4,1,249.27,1.98,8.29,0.73,4
Direct,2024-08-05 11:00:00,4,2,5,76.84,2.75,8.09,0.94,9
Direct,2024-08-05 12:00:00,2,4,4,185.61,0.71,6.14,0.51,5
Organic Search,2024-08-05 13:00:00,4,2,4,21.4,4.01,2.31,0.78,14
Paid Search,2024-08-05 14:00:00,1,5,4,122.8,0.82,5.65,0.14,13
Organic Search,2024-08-05 15:00:00,2,3,2,369.73,2.39,2.88,0.34,13
Direct,2024-08-05 16:00:00,1,5,2,109.58,3.73,5.12,0.14,11
Affiliates,2024-08-05 17:00:00,4,1,2,551.13,2.48,3.8,0.8,17
Display,2024-08-05 18:00:00,1,1,4,430.84,2.62,5.94,0.3,13
Direct,2024-08-05 19:00:00,4,5,3,416.05,4.41,1.14,0.3,8
Paid Search,2024-08-05 20:00:00,1,4,4,273.86,2.24,7.7,0.45,12
Direct,2024-08-05 21:00:00,4,4,5,470.4,4.91,5.42,0.21,15
Display,2024-08-05 22:00:00,3,3,1,120.59,3.71,8.45,0.51,18
Affiliates,2024-08-05 23:00:00,1,5,5,271.61,4.01,9.61,0.89,14
Display,2024-08-06 00:00:00,1,1,1,596.35,1.23,4.92,0.3,9
Direct,2024-08-06 01:00:00,3,5,5,179.19,3.35,6.74,0.2,16
Affiliates,2024-08-06 02:00:00,3,5,1,249.03,1.53,9.52,0.37,15
Display,2024-08-06 03:00:00,1,3,3,140,1.45,2.09,0.5,5
Affiliates,2024-08-06 04:00:00,3,4,1,54.74,4.6,8.04,0.35,10
Display,2024-08-06 05:00:00,2,1,4,248.07,1.49,6.84,0.72,8
Email,2024-08-06 06:00:00,4,3,5,95.71,3.52,2.42,0.79,15
Referral,2024-08-06 07:00:00,4,1,2,311.87,1.22,3.12,0.72,2
Direct,2024-08-06 08:00:00,4,1,3,454.09,4.98,1.66,0.63,10
Display,2024-08-06 09:00:00,2,4,5,510.4,0.79,7.66,0.54,14
Organic Search,2024-08-06 10:00:00,3,4,3,109.13,1.72,8.04,0.67,17
Affiliates,2024-08-06 11:00:00,3,3,2,541.96,4.18,4.83,0.96,12
Referral,2024-08-06 12:00:00,1,2,2,222.09,3.72,5.32,0.18,15
Social,2024-08-06 13:00:00,3,3,2,274.25,4.44,3.67,0.77,18
Display,2024-08-06 14:00:00,1,3,2,353.66,3.36,4.57,0.14,8
Email,2024-08-06 15:00:00,2,2,2,97.93,3.34,3.29,0.99,11
Organic Search,2024-08-06 16:00:00,4,1,4,506.56,2.9,9.7,0.43,9
Organic Search,2024-08-06 17:00:00,4,5,1,475.7,2.56,8.88,0.55,12
Affiliates,2024-08-06 18:00:00,4,2,2,289.02,2.29,3.57,0.2,13
Email,2024-08-06 19:00:00,3,5,5,197.38,3.66,6.66,0.91,13
Paid Search,2024-08-06 20:00:00,1,1,5,303.2,1.83,3.01,0.43,19
Affiliates,2024-08-06 21:00:00,1,2,2,396.06,2.25,5.55,0.78,6
Paid Search,2024-08-06 22:00:00,2,4,3,423.2,2.68,6.54,0.65,8
Direct,2024-08-06 23:00:00,3,3,2,268.24,1.48,3.45,0.41,15
Social,2024-08-07 00:00:00,2,2,4,25.67,3.21,1.21,0.96,3
Affiliates,2024-08-07 01:00:00,1,2,1,430.69,3.51,9.08,0.56,3
Paid Search,2024-08-07 02:00:00,1,1,5,198.69,0.57,4.11,0.69,18
Paid Search,2024-08-07 03:00:00,4,4,2,528.51,1.35,9.83,0.76,9
Referral,2024-08-07 04:00:00,3,2,1,258.78,2.43,7.98,0.93,14
Affiliates,2024-08-07 05:00:00,1,4,1,479.48,3.35,6.14,0.95,2
Paid Search,2024-08-07 06:00:00,4,5,2,226.65,3.22,1.81,0.16,7
Social,2024-08-07 07:00:00,3,2,1,228.8,0.88,4.52,0.53,16
Organic Search,2024-08-07 08:00:00,2,4,5,459.91,1.41,9.29,0.21,7
Email,2024-08-07 09:00:00,3,3,2,328.32,2.36,8.75,0.67,15
Organic Search,2024-08-07 10:00:00,3,1,3,161.24,4.49,9.79,0.98,9
Affiliates,2024-08-07 11:00:00,1,4,2,505.3,4.05,2.97,0.61,16
Affiliates,2024-08-07 12:00:00,1,1,5,381.66,2.43,6.34,0.15,13
Affiliates,2024-08-07 13:00:00,3,2,2,384.33,4.6,1.92,0.91,17
Email,2024-08-07 14:00:00,1,2,2,472.43,3.94,3.05,0.59,2
Display,2024-08-07 15:00:00,1,5,2,381.99,3,5.89,0.46,9
Email,2024-08-07 16:00:00,1,1,4,162.29,0.97,3.1,0.37,16
Social,2024-08-07 17:00:00,4,3,4,16.09,2.55,4.49,0.94,9
Social,2024-08-07 18:00:00,4,3,5,475.31,3.98,1.67,0.11,5
Direct,2024-08-07 19:00:00,3,4,1,574.85,0.95,6.81,0.89,19
Organic Search,2024-08-07 20:00:00,1,3,2,434.45,1.03,5.63,0.15,8
Social,2024-08-07 21:00:00,4,1,2,497.42,4.38,6.89,0.35,12
Social,2024-08-07 22:00:00,3,2,4,519.63,1.92,8.44,0.6,11
Organic Search,2024-08-07 23:00:00,1,1,3,159.23,4.02,9.5,0.95,13
Affiliates,2024-08-08 00:00:00,2,1,4,220.55,1.52,2.33,0.32,16
Direct,2024-08-08 01:00:00,1,2,1,443.05,3.04,3.7,0.87,13
Organic Search,2024-08-08 02:00:00,1,1,2,269.28,4.11,2.34,0.79,17
Social,2024-08-08 03:00:00,4,3,2,385.75,0.93,1.26,0.26,11
Organic Search,2024-08-08 04:00:00,3,4,5,168.83,3.02,1.99,0.25,4
Social,2024-08-08 05:00:00,3,4,3,431.8,2.59,3.86,0.48,12
Affiliates,2024-08-08 06:00:00,4,1,5,360.55,2.51,7.02,0.43,3
Paid Search,2024-08-08 07:00:00,1,2,3,575,2.25,1.97,0.61,17
Direct,2024-08-08 08:00:00,2,5,3,554.87,3.3,2.53,0.4,2
Paid Search,2024-08-08 09:00:00,1,1,3,341.14,3.5,8.05,0.52,10
Social,2024-08-08 10:00:00,1,1,3,158.49,3.43,7.61,0.39,2
Social,2024-08-08 11:00:00,2,5,5,239.57,1.04,2.56,0.11,15
Direct,2024-08-08 12:00:00,4,4,2,445.54,2,5.26,0.85,15
Social,2024-08-08 13:00:00,3,4,2,258.75,2.6,8.93,0.97,7
Social,2024-08-08 14:00:00,4,5,5,495.13,4.82,9.18,0.42,17
Social,2024-08-08 15:00:00,4,2,4,150.85,3.56,2.02,0.79,7
Organic Search,2024-08-08 16:00:00,1,1,1,465.01,2.67,5.25,0.46,5
Paid Search,2024-08-08 17:00:00,3,3,3,473.1,3.39,8.27,0.21,16
Direct,2024-08-08 18:00:00,3,4,5,118.71,3.87,4.92,0.38,17
Direct,2024-08-08 19:00:00,4,4,3,62.12,3.03,3.44,0.8,11
Affiliates,2024-08-08 20:00:00,2,4,3,364.82,4.53,8.57,0.99,16
Email,2024-08-08 21:00:00,4,2,3,467.03,2.25,3.82,0.24,5
Direct,2024-08-08 22:00:00,2,5,5,563.24,3.91,2.2,0.84,3
Social,2024-08-08 23:00:00,3,2,2,412.67,0.74,8.63,0.47,4
Referral,2024-08-09 00:00:00,4,4,4,413.06,1.58,1.21,0.58,8
Affiliates,2024-08-09 01:00:00,1,1,4,265.84,2.72,1.82,0.95,16
Direct,2024-08-09 02:00:00,4,4,5,196.95,4.88,7.43,0.97,14
Organic Search,2024-08-09 03:00:00,3,1,1,259.23,3.8,4.31,0.56,11
Email,2024-08-09 04:00:00,1,1,4,421.08,0.6,7.12,0.78,10
Paid Search,2024-08-09 05:00:00,1,4,4,590.35,3.82,1.07,0.48,6
Direct,2024-08-09 06:00:00,2,4,3,414.43,1.39,3.54,0.64,7
Direct,2024-08-09 07:00:00,1,1,5,351.86,4.01,4.29,0.32,12
Affiliates,2024-08-09 08:00:00,1,2,2,252.91,4.46,4.84,0.73,2
Display,2024-08-09 09:00:00,4,2,5,238.86,4.1,6.51,0.56,17
Display,2024-08-09 10:00:00,3,2,5,265,1.5,2.95,0.43,14
Referral,2024-08-09 11:00:00,2,3,4,301.04,3.45,9.81,0.58,4
Affiliates,2024-08-09 12:00:00,4,1,3,265.38,4.94,7.79,0.38,3
Direct,2024-08-09 13:00:00,1,3,5,525.97,4.79,5.41,0.7,13
Referral,2024-08-09 14:00:00,1,3,2,20.28,4.99,7.58,0.48,9
Email,2024-08-09 15:00:00,2,1,3,341.99,2.93,9.06,0.61,11
Organic Search,2024-08-09 16:00:00,3,3,3,508.05,2.06,6.94,0.65,17
Social,2024-08-09 17:00:00,2,1,2,267.18,2.42,5.34,0.13,1
Paid Search,2024-08-09 18:00:00,4,5,2,523.72,0.9,6.78,0.49,2
Organic Search,2024-08-09 19:00:00,2,5,2,363.06,3.55,6.4,0.43,15
Direct,2024-08-09 20:00:00,1,1,5,173.53,1.54,6.97,0.96,1
Affiliates,2024-08-09 21:00:00,4,1,3,137.65,4.11,5.67,0.15,1
Display,2024-08-09 22:00:00,1,1,3,36,4.78,2.12,0.94,3
Affiliates,2024-08-09 23:00:00,3,2,1,425.17,2.14,7.21,0.49,5
Social,2024-08-10 00:00:00,1,1,1,393.97,3.46,8.92,0.45,4
Affiliates,2024-08-10 01:00:00,1,4,1,471.91,4.21,2.66,0.26,1
Referral,2024-08-10 02:00:00,2,5,5,573.9,1.56,3.73,0.86,2
Display,2024-08-10 03:00:00,1,5,5,203.89,1.52,6.84,0.13,17
Display,2024-08-10 04:00:00,4,1,2,153.01,0.87,3.88,0.93,7
Affiliates,2024-08-10 05:00:00,4,5,5,173.71,1.82,7.32,0.52,7
Social,2024-08-10 06:00:00,3,1,3,337.49,4.5,6.3,0.62,4
Direct,2024-08-10 07:00:00,4,1,3,284.59,0.97,8.42,0.44,7
Display,2024-08-10 08:00:00,2,5,4,62.83,1.79,2.36,0.91,2
Organic Search,2024-08-10 09:00:00,3,5,4,139.42,4.34,4.79,0.98,15
Social,2024-08-10 10:00:00,4,4,5,337.78,4.24,4.46,0.25,6
Affiliates,2024-08-10 11:00:00,2,3,4,585,0.99,2.55,0.85,1
Display,2024-08-10 12:00:00,4,4,5,460.7,3.76,6.6,0.42,7
Email,2024-08-10 13:00:00,4,4,2,589.95,2.17,8.06,0.37,2
Organic Search,2024-08-10 14:00:00,1,5,2,435.42,0.7,2.21,0.56,3
Paid Search,2024-08-10 15:00:00,4,4,4,592.51,0.72,6.55,0.54,9
Email,2024-08-10 16:00:00,4,5,5,157.3,1.97,3.39,0.29,14
Display,2024-08-10 17:00:00,2,2,4,550.06,4.21,6.96,0.75,2
Social,2024-08-10 18:00:00,2,1,3,404.47,4.36,9.44,0.24,3
Email,2024-08-10 19:00:00,1,3,5,362.84,4.42,2.32,0.8,4
Social,2024-08-10 20:00:00,4,2,1,423.93,1.33,2.82,0.86,5
Social,2024-08-10 21:00:00,1,1,3,345.83,3.11,9.69,0.46,3
Paid Search,2024-08-10 22:00:00,4,1,5,222.6,0.88,2.83,0.99,13
Social,2024-08-10 23:00:00,3,3,4,490,4.3,3.47,0.89,16
Display,2024-08-11 00:00:00,3,4,4,229.2,4.63,4.53,0.46,9
Affiliates,2024-08-11 01:00:00,1,1,4,264.07,3.8,7.84,0.55,1
Referral,2024-08-11 02:00:00,1,3,5,475.31,0.93,9.13,0.41,15
Referral,2024-08-11 03:00:00,1,5,4,584.69,1.75,9.29,0.9,16
Email,2024-08-11 04:00:00,2,1,5,195.24,4.05,6.25,0.52,4
Direct,2024-08-11 05:00:00,2,1,5,588.03,2.98,8.48,0.99,15
Email,2024-08-11 06:00:00,2,4,4,533.92,1.14,3.75,0.58,15
Organic Search,2024-08-11 07:00:00,1,4,2,126.88,4.97,6.48,0.79,5
Organic Search,2024-08-11 08:00:00,4,5,2,104.74,3.03,2.16,0.43,12
Paid Search,2024-08-11 09:00:00,3,1,3,492.96,1,1.96,0.89,8
Organic Search,2024-08-11 10:00:00,1,4,5,49.25,1.89,1.12,0.93,5
Display,2024-08-11 11:00:00,2,3,4,590.85,4.71,7.36,0.28,3
Paid Search,2024-08-11 12:00:00,2,1,4,131.1,2.29,4.76,0.77,3
Paid Search,2024-08-11 13:00:00,1,3,4,23.95,2.35,1.54,0.19,17
Affiliates,2024-08-11 14:00:00,1,2,2,402.21,3.68,4.83,0.89,14
Email,2024-08-11 15:00:00,2,5,1,346.1,2.99,6.23,0.92,14
Referral,2024-08-11 16:00:00,4,4,5,547.62,1.75,6.62,0.41,3
Social,2024-08-11 17:00:00,2,2,3,91.09,3.13,6.98,0.95,2
Social,2024-08-11 18:00:00,2,4,3,119.53,0.88,6.18,0.11,16
Referral,2024-08-11 19:00:00,1,2,3,440.88,1.24,6.43,0.55,19
Organic Search,2024-08-11 20:00:00,4,4,5,240.65,4.44,8.29,0.97,6
Organic Search,2024-08-11 21:00:00,2,5,5,380.82,1.18,8.1,0.36,17
Paid Search,2024-08-11 22:00:00,2,1,3,30.57,3.62,2.5,0.17,7
Organic Search,2024-08-11 23:00:00,3,3,3,486.45,2.06,5.9,0.2,9
Referral,2024-08-12 00:00:00,1,2,4,165.43,3.63,2.03,0.52,7
Paid Search,2024-08-12 01:00:00,3,3,1,324.46,2.51,1.99,0.48,15
Paid Search,2024-08-12 02:00:00,3,3,2,419.64,0.53,8.38,0.62,2
Paid Search,2024-08-12 03:00:00,2,4,5,107.98,1.96,3.63,0.26,1
Direct,2024-08-12 04:00:00,1,1,1,56.52,3.61,6.12,0.87,15
Display,2024-08-12 05:00:00,4,4,3,10.25,1.23,9.13,0.3,2
Direct,2024-08-12 06:00:00,2,3,3,44.08,3.57,5.42,0.39,14
Paid Search,2024-08-12 07:00:00,4,5,3,547.43,4.31,4.03,0.89,1
Direct,2024-08-12 08:00:00,4,1,3,316.36,1.11,7.28,0.23,14
Social,2024-08-12 09:00:00,1,1,4,48.21,1.55,7.05,0.62,13
Social,2024-08-12 10:00:00,3,3,5,597.91,2.76,2.22,0.57,19
Affiliates,2024-08-12 11:00:00,1,4,3,63.42,0.99,7.62,0.52,5
Paid Search,2024-08-12 12:00:00,4,5,3,551.72,4.7,2.03,0.58,14
Affiliates,2024-08-12 13:00:00,2,2,5,139.28,4.92,9.16,0.23,10
Social,2024-08-12 14:00:00,4,4,2,424.59,3.06,5.41,0.39,2
Display,2024-08-12 15:00:00,2,1,4,147.62,1.84,2.35,0.36,15
Email,2024-08-12 16:00:00,2,4,4,595.34,1.94,9.85,0.83,6
Social,2024-08-12 17:00:00,1,2,1,115.9,2.39,5.41,0.67,15
Direct,2024-08-12 18:00:00,4,5,4,216.88,4.37,5.08,0.95,2
Paid Search,2024-08-12 19:00:00,3,5,1,90.4,4.15,1.39,0.32,5
Social,2024-08-12 20:00:00,4,2,2,301.97,4.55,1.31,0.15,5
Organic Search,2024-08-12 21:00:00,4,2,5,263.54,4.66,7.8,0.35,11
Display,2024-08-12 22:00:00,3,3,3,490.05,1.99,8.62,0.39,4
Display,2024-08-12 23:00:00,1,1,1,514.09,3.72,8.37,0.41,12
Email,2024-08-13 00:00:00,4,3,4,516.31,1.43,1.19,0.91,11
Organic Search,2024-08-13 01:00:00,4,4,3,31.68,3.53,3.7,0.95,10
Social,2024-08-13 02:00:00,2,2,2,116.17,3.02,2.38,0.13,19
Social,2024-08-13 03:00:00,4,3,5,387.07,1.93,4.13,0.18,12
Direct,2024-08-13 04:00:00,3,1,1,365.04,0.86,5.36,0.26,4
Affiliates,2024-08-13 05:00:00,2,1,4,485.85,2.11,6.31,0.82,7
Paid Search,2024-08-13 06:00:00,1,2,3,467.13,2.29,4.77,0.55,2
Affiliates,2024-08-13 07:00:00,2,3,3,137.29,4.44,7.71,0.65,8
Referral,2024-08-13 08:00:00,3,5,3,212.92,4.64,9.43,0.22,2
Display,2024-08-13 09:00:00,3,2,5,343.76,4.78,2.27,0.65,8
